,astrocyte,endothelial cell,ependymal cell,fibroblast,microglial cell,mural cell,neuron,oligodendrocyte
195,-3.897564,-4.1365657,-4.3272486,-4.512768,-3.9663837,-4.2506194,-5.160337,-4.3661985
196,-4.399468,-4.393561,-4.6414495,-4.68832,-4.324385,-4.1568203,-5.8161793,-4.3594174
197,-3.8729484,-4.3122926,-4.2883,-4.768394,-3.840509,-3.7147636,-4.5992703,-3.884248
198,-3.9961545,-4.6130857,-4.554614,-4.4170074,-4.3020267,-4.2800403,-5.3494935,-4.073061
199,-4.6854587,-4.558175,-4.8190656,-4.5413766,-4.1585307,-4.4277487,-5.5139823,-4.4211392
200,-4.3828297,-4.554832,-4.5741343,-4.4197054,-4.457444,-4.1899,-5.2011075,-4.336113
201,-3.8967223,-4.029077,-4.3034835,-3.8056529,-3.8622713,-3.8454509,-5.537636,-3.9205356
202,-4.382467,-4.271204,-4.894735,-4.4871807,-4.2130666,-4.4164705,-5.4118357,-4.5807133
203,-3.9569016,-4.4430428,-4.8131604,-4.5301237,-4.127913,-4.3813915,-5.5189004,-4.6059356
204,-4.252942,-4.109228,-4.745338,-3.245074,-3.7875211,-3.7824326,-4.6424246,-4.0694523
205,-3.7376814,-3.9701374,-4.665708,-4.1106353,-3.8738449,-3.8876252,-4.057923,-3.9978383
206,-4.306703,-4.568721,-4.40758,-4.141128,-4.289869,-4.448681,-5.5812855,-4.54646
207,-3.8239887,-3.8851743,-3.8761861,-3.9679422,-3.8600218,-3.9245124,-5.4302654,-3.885334
208,-3.993241,-4.197206,-4.7916546,-3.7682571,-3.9486492,-4.0919166,-5.373955,-4.3692374
209,-4.908262,-5.034982,-5.282489,-4.9145927,-4.680948,-5.043512,-5.6454787,-4.9023876
210,-4.122144,-4.1421456,-4.687982,-4.149629,-4.040572,-4.3278375,-5.3589354,-3.9637082
211,-3.9744208,-4.192203,-4.469475,-2.961178,-4.940781,-3.6225078,-4.772405,-3.8738527
212,-4.055638,-4.6738725,-4.666,-4.268034,-4.8317757,-3.7350032,-5.328236,-4.0542517
